ticker,company,date,open_inr,high_inr,low_inr,close_inr,volume,daily_return_pct
TCS.BSE,Tata Consultancy Services,2025-11-28,3136.5,3146.95,3125.0,3139.6499,63941,0.08766617002984312
TCS.BSE,Tata Consultancy Services,2025-12-01,3135.0,3152.5,3122.7,3135.7,204505,-0.12580702071272043
TCS.BSE,Tata Consultancy Services,2025-12-02,3125.2,3143.7,3121.05,3135.6001,69073,-0.003185891507473393
TCS.BSE,Tata Consultancy Services,2025-12-03,3150.0,3212.0,3136.0,3179.95,217359,1.4143991129480948
TCS.BSE,Tata Consultancy Services,2025-12-04,3181.25,3249.95,3181.25,3228.8999,532289,1.5393292347364085
TCS.BSE,Tata Consultancy Services,2025-12-05,3239.5,3270.7,3223.25,3238.8999,350070,0.3097030044195481
TCS.BSE,Tata Consultancy Services,2025-12-08,3238.0,3259.8,3210.0,3237.8999,219632,-0.03087468062844545
TCS.BSE,Tata Consultancy Services,2025-12-09,3226.25,3236.2,3180.8,3208.25,171236,-0.9157139169126194
TCS.BSE,Tata Consultancy Services,2025-12-10,3208.25,3216.5,3178.7,3188.1499,174012,-0.6265128964388689
TCS.BSE,Tata Consultancy Services,2025-12-11,3206.0,3207.75,3153.75,3191.6001,397514,0.10821950373163247
TCS.BSE,Tata Consultancy Services,2025-12-12,3198.7,3223.95,3184.95,3220.1499,113769,0.8945293616201999
TCS.BSE,Tata Consultancy Services,2025-12-15,3220.1001,3237.0,3196.3,3230.3999,53689,0.318308163231773
TCS.BSE,Tata Consultancy Services,2025-12-16,3221.0,3221.05,3191.0,3204.55,60794,-0.8002074294269135
TCS.BSE,Tata Consultancy Services,2025-12-17,3204.55,3236.1001,3201.05,3217.6001,37162,0.40723658548000863
TCS.BSE,Tata Consultancy Services,2025-12-18,3234.7,3288.7,3224.05,3280.1001,309024,1.9424415109882576
TCS.BSE,Tata Consultancy Services,2025-12-19,3300.0,3317.8999,3277.2,3282.6001,65524,0.07621718617671913
TCS.BSE,Tata Consultancy Services,2025-12-22,3300.1001,3328.2,3290.3999,3324.6499,142041,1.2809906390973458
TCS.BSE,Tata Consultancy Services,2025-12-23,3324.3999,3324.3999,3294.2,3310.5,97640,-0.4256057156574511
TCS.BSE,Tata Consultancy Services,2025-12-24,3308.8,3326.0,3295.3999,3320.3501,156179,0.2975411569249298
TCS.BSE,Tata Consultancy Services,2025-12-25,3320.3501,3320.3501,3320.3501,3320.3501,0,0.0
TCS.BSE,Tata Consultancy Services,2025-12-26,3312.0,3319.0,3274.0,3279.8,94124,-1.2212597701670047
TCS.BSE,Tata Consultancy Services,2025-12-29,3279.8,3286.0,3243.5,3253.6499,74178,-0.7973077626684644
TCS.BSE,Tata Consultancy Services,2025-12-30,3240.1001,3266.0,3239.5,3247.5,58391,-0.1890154192680571
TCS.BSE,Tata Consultancy Services,2025-12-31,3246.0,3246.0,3199.1001,3205.75,126727,-1.2856043110084703
TCS.BSE,Tata Consultancy Services,2026-01-01,3206.05,3234.25,3198.75,3226.8,220572,0.6566326132730227
TCS.BSE,Tata Consultancy Services,2026-01-02,3243.3999,3253.3999,3220.0,3250.1001,63797,0.722080699144656
TCS.BSE,Tata Consultancy Services,2026-01-05,3249.8501,3249.8501,3191.8501,3214.7,126704,-1.0892002987846539
